age,food_item,review,category
61,Barfi,"Thoda teekha tha, but I still liked it.",Chinese
18,Rasgulla,"Thoda teekha tha, but I still liked it.",Snacks
54,Pani Puri,"Bahut swaadisht tha, ekdum desi maza!",Dessert
17,Aloo Gobi,"Thoda teekha tha, but I still liked it.",Street Food
59,Dal Makhani,"Perfect lunch, bilkul ghar jaisa.",Vegan
57,Kofta Curry,"Yaar, itna tasty tha, maza aa gaya!",Street Food
19,Mutton Rogan Josh,"Delicious and perfectly spiced, loved it!",Dessert
33,Samosa,"Thoda teekha tha, but I still liked it.",Street Food
21,Butter Chicken,Samosa toh ekdum crisp aur tasty tha.,Street Food
51,Kadhi Pakora,"Delicious and perfectly spiced, loved it!",Street Food
69,Falooda,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
36,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Snacks
61,Kofta Curry,"Yaar, itna tasty tha, maza aa gaya!",Chinese
67,Chaat,Khana fresh tha aur taste bhi badhiya.,Chinese
35,Rajma Chawal,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
28,Tandoori Chicken,"Bahut swaadisht tha, ekdum desi maza!",Lunch
43,Jalebi,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
47,Falooda,"Delicious and perfectly spiced, loved it!",Dessert
18,Kulfi,"Great taste, will order again!",Street Food
53,Butter Chicken,"The food was amazing, but delivery was late.",Lunch
17,Kadhi Pakora,"Great taste, will order again!",Snacks
39,Rabri,"Yaar, itna tasty tha, maza aa gaya!",Dessert
59,Dal Fry,Khana fresh tha aur taste bhi badhiya.,Breakfast
61,Tandoori Roti,"Thoda teekha tha, but I still liked it.",Breakfast
31,Kachori,Samosa toh ekdum crisp aur tasty tha.,Dessert
65,Malai Kofta,"Thoda teekha tha, but I still liked it.",Street Food
18,Naan,"Yaar, itna tasty tha, maza aa gaya!",Dinner
23,Tandoori Chicken,"The food was amazing, but delivery was late.",Vegan
41,Barfi,"The food was amazing, but delivery was late.",Breakfast
51,Kadhi Pakora,"Delicious and perfectly spiced, loved it!",Snacks
14,Chaat,"The food was amazing, but delivery was late.",Chinese
31,Tandoori Chicken,"Delicious and perfectly spiced, loved it!",Chinese
56,Biryani,Khana fresh tha aur taste bhi badhiya.,Street Food
33,Paneer Butter Masala,Samosa toh ekdum crisp aur tasty tha.,Breakfast
17,Lassi,"Bahut swaadisht tha, ekdum desi maza!",Dinner
23,Aloo Gobi,"Great taste, will order again!",Dinner
21,Dal Makhani,Khana fresh tha aur taste bhi badhiya.,Dessert
65,Kadhi Pakora,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
36,Paneer Butter Masala,"Yaar, itna tasty tha, maza aa gaya!",Vegan
13,Rajma Chawal,Samosa toh ekdum crisp aur tasty tha.,Chinese
12,Butter Chicken,Khana fresh tha aur taste bhi badhiya.,Vegan
70,Vegetable Biryani,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
15,Butter Chicken,Samosa toh ekdum crisp aur tasty tha.,Dinner
58,Tandoori Roti,Samosa toh ekdum crisp aur tasty tha.,Dessert
35,Mutton Rogan Josh,"Thoda teekha tha, but I still liked it.",Lunch
12,Vegetable Biryani,"Delicious and perfectly spiced, loved it!",Breakfast
68,Roti Sabzi,"Delicious and perfectly spiced, loved it!",Vegan
20,Kofta Curry,"Bahut swaadisht tha, ekdum desi maza!",Dessert
32,Paneer Tikka,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
41,Baingan Bharta,"The food was amazing, but delivery was late.",Snacks
42,Imarti,"Perfect lunch, bilkul ghar jaisa.",Vegan
70,Falooda,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
70,Lassi,"Bahut swaadisht tha, ekdum desi maza!",Vegan
68,Biryani,"Yaar, itna tasty tha, maza aa gaya!",Vegan
55,Malai Kofta,Khana fresh tha aur taste bhi badhiya.,Street Food
56,Litti Chokha,"Delicious and perfectly spiced, loved it!",Dinner
61,Kulfi,"Thoda teekha tha, but I still liked it.",Snacks
14,Rajma Chawal,"Perfect lunch, bilkul ghar jaisa.",Dinner
13,Kadhi Pakora,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
49,Butter Chicken,Khana fresh tha aur taste bhi badhiya.,Dinner
29,Rabri,"Thoda teekha tha, but I still liked it.",Vegan
60,Rasgulla,"Great taste, will order again!",Vegetarian
30,Butter Chicken,"Delicious and perfectly spiced, loved it!",Street Food
19,Fish Fry,"Great taste, will order again!",Dessert
60,Chaat,Samosa toh ekdum crisp aur tasty tha.,Vegan
67,Biryani,Khana fresh tha aur taste bhi badhiya.,Dessert
25,Roti Sabzi,"Perfect lunch, bilkul ghar jaisa.",Dessert
19,Chicken Biryani,"The food was amazing, but delivery was late.",Vegan
20,Pani Puri,Samosa toh ekdum crisp aur tasty tha.,Chinese
54,Imarti,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
65,Kachori,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
50,Naan,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
26,Fish Curry,Samosa toh ekdum crisp aur tasty tha.,Lunch
49,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Street Food
15,Fish Fry,"Bahut swaadisht tha, ekdum desi maza!",Street Food
25,Chicken Biryani,"Great taste, will order again!",Chinese
12,Imarti,"The food was amazing, but delivery was late.",Non-Vegetarian
19,Aloo Tikki,"Great taste, will order again!",Lunch
25,Butter Chicken,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
12,Vegetable Biryani,"Great taste, will order again!",Breakfast
52,Pani Puri,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
70,Samosa,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
17,Fish Fry,"Great taste, will order again!",Lunch
33,Fish Curry,"Delicious and perfectly spiced, loved it!",Vegan
53,Shahi Paneer,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
31,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Vegan
62,Aloo Gobi,"Great taste, will order again!",Street Food
58,Aloo Tikki,Samosa toh ekdum crisp aur tasty tha.,Lunch
44,Gulab Jamun,"Great taste, will order again!",Vegetarian
26,Kachori,"Delicious and perfectly spiced, loved it!",Vegetarian
70,Dal Fry,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
61,Mutton Korma,"Perfect lunch, bilkul ghar jaisa.",Dessert
10,Fish Fry,Khana fresh tha aur taste bhi badhiya.,Dinner
12,Vegetable Pulao,"The food was amazing, but delivery was late.",Street Food
46,Aloo Gobi,"Thoda teekha tha, but I still liked it.",Lunch
54,Aloo Gobi,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
64,Pav Bhaji,"Bahut swaadisht tha, ekdum desi maza!",Snacks
30,Dal Makhani,Samosa toh ekdum crisp aur tasty tha.,Dinner
28,Falooda,"Delicious and perfectly spiced, loved it!",Snacks
37,Shahi Paneer,"Great taste, will order again!",Snacks
24,Tandoori Chicken,"Delicious and perfectly spiced, loved it!",Chinese
57,Butter Chicken,"Bahut swaadisht tha, ekdum desi maza!",Vegan
64,Imarti,"Bahut swaadisht tha, ekdum desi maza!",Snacks
51,Fish Fry,"Yaar, itna tasty tha, maza aa gaya!",Street Food
15,Biryani,Khana fresh tha aur taste bhi badhiya.,Lunch
60,Litti Chokha,"Delicious and perfectly spiced, loved it!",Lunch
16,Lassi,"Great taste, will order again!",Street Food
67,Rajma Chawal,"Delicious and perfectly spiced, loved it!",Dessert
23,Tandoori Roti,"Great taste, will order again!",Dinner
16,Biryani,"The food was amazing, but delivery was late.",Breakfast
66,Sev Puri,"Great taste, will order again!",Vegan
37,Gulab Jamun,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
39,Butter Chicken,"The food was amazing, but delivery was late.",Non-Vegetarian
33,Baingan Bharta,"Thoda teekha tha, but I still liked it.",Lunch
45,Kachori,"The food was amazing, but delivery was late.",Chinese
15,Kulfi,"Delicious and perfectly spiced, loved it!",Vegan
42,Rasgulla,"Great taste, will order again!",Dessert
51,Pav Bhaji,"Thoda teekha tha, but I still liked it.",Dinner
63,Dal Makhani,Samosa toh ekdum crisp aur tasty tha.,Breakfast
31,Chicken Biryani,"Great taste, will order again!",Snacks
11,Paneer Butter Masala,"Bahut swaadisht tha, ekdum desi maza!",Chinese
51,Dal Fry,"Perfect lunch, bilkul ghar jaisa.",Dinner
68,Pani Puri,"Thoda teekha tha, but I still liked it.",Chinese
50,Chaat,"Thoda teekha tha, but I still liked it.",Dessert
45,Chicken Curry,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
66,Fish Fry,"Great taste, will order again!",Snacks
11,Fish Fry,"Thoda teekha tha, but I still liked it.",Snacks
28,Paneer Tikka,"Perfect lunch, bilkul ghar jaisa.",Breakfast
57,Aloo Gobi,"Great taste, will order again!",Vegan
64,Pani Puri,"Bahut swaadisht tha, ekdum desi maza!",Dessert
38,Malai Kofta,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
29,Tandoori Chicken,Khana fresh tha aur taste bhi badhiya.,Snacks
20,Naan,"Thoda teekha tha, but I still liked it.",Dessert
50,Rasgulla,Khana fresh tha aur taste bhi badhiya.,Dessert
62,Gulab Jamun,"Delicious and perfectly spiced, loved it!",Vegetarian
53,Kulfi,Khana fresh tha aur taste bhi badhiya.,Snacks
66,Tandoori Chicken,"The food was amazing, but delivery was late.",Dessert
50,Lassi,"Bahut swaadisht tha, ekdum desi maza!",Vegan
30,Tandoori Chicken,"The food was amazing, but delivery was late.",Vegetarian
35,Tandoori Chicken,"The food was amazing, but delivery was late.",Chinese
70,Bhindi Masala,"Yaar, itna tasty tha, maza aa gaya!",Snacks
22,Butter Chicken,"The food was amazing, but delivery was late.",Breakfast
15,Pani Puri,"Thoda teekha tha, but I still liked it.",Snacks
42,Kulfi,Samosa toh ekdum crisp aur tasty tha.,Lunch
42,Butter Chicken,"Delicious and perfectly spiced, loved it!",Street Food
40,Biryani,"Yaar, itna tasty tha, maza aa gaya!",Chinese
13,Imarti,"Perfect lunch, bilkul ghar jaisa.",Chinese
64,Kadhi Pakora,"Perfect lunch, bilkul ghar jaisa.",Chinese
43,Vegetable Pulao,"Bahut swaadisht tha, ekdum desi maza!",Dinner
30,Shahi Paneer,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
40,Biryani,"Delicious and perfectly spiced, loved it!",Dessert
56,Jalebi,"Bahut swaadisht tha, ekdum desi maza!",Vegan
16,Chicken Curry,Khana fresh tha aur taste bhi badhiya.,Breakfast
70,Naan,"Delicious and perfectly spiced, loved it!",Street Food
24,Mutton Korma,"Thoda teekha tha, but I still liked it.",Vegan
20,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Dessert
52,Chicken Biryani,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
25,Chaat,"Delicious and perfectly spiced, loved it!",Chinese
58,Rasgulla,"Delicious and perfectly spiced, loved it!",Dinner
36,Mutton Korma,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
30,Paneer Butter Masala,"Bahut swaadisht tha, ekdum desi maza!",Chinese
58,Malai Kofta,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
11,Kadhi Pakora,Samosa toh ekdum crisp aur tasty tha.,Dessert
20,Kulfi,"Great taste, will order again!",Non-Vegetarian
28,Butter Chicken,"Great taste, will order again!",Dinner
61,Pav Bhaji,"Great taste, will order again!",Breakfast
21,Biryani,"Perfect lunch, bilkul ghar jaisa.",Vegan
32,Dal Makhani,"Delicious and perfectly spiced, loved it!",Chinese
41,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Street Food
41,Palak Paneer,"Delicious and perfectly spiced, loved it!",Vegetarian
14,Jalebi,"The food was amazing, but delivery was late.",Chinese
25,Kofta Curry,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
20,Fish Curry,"Thoda teekha tha, but I still liked it.",Vegetarian
48,Rajma Chawal,Samosa toh ekdum crisp aur tasty tha.,Breakfast
18,Fish Fry,"Yaar, itna tasty tha, maza aa gaya!",Dinner
50,Paneer Tikka,"The food was amazing, but delivery was late.",Lunch
35,Jalebi,"Great taste, will order again!",Dessert
61,Paneer Butter Masala,"Yaar, itna tasty tha, maza aa gaya!",Street Food
36,Aloo Tikki,"Bahut swaadisht tha, ekdum desi maza!",Lunch
28,Tandoori Chicken,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
47,Falooda,"Great taste, will order again!",Dinner
26,Dal Fry,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
62,Vegetable Biryani,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
13,Rabri,"Delicious and perfectly spiced, loved it!",Vegan
32,Samosa,"Delicious and perfectly spiced, loved it!",Dessert
15,Aloo Tikki,"Delicious and perfectly spiced, loved it!",Street Food
59,Dal Makhani,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
34,Tandoori Roti,Khana fresh tha aur taste bhi badhiya.,Dessert
44,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Street Food
34,Paneer Tikka,"Perfect lunch, bilkul ghar jaisa.",Dinner
21,Imarti,"The food was amazing, but delivery was late.",Non-Vegetarian
34,Tandoori Roti,Khana fresh tha aur taste bhi badhiya.,Dessert
15,Dal Fry,"The food was amazing, but delivery was late.",Breakfast
62,Lassi,"The food was amazing, but delivery was late.",Non-Vegetarian
25,Rasgulla,"Delicious and perfectly spiced, loved it!",Vegetarian
31,Paneer Tikka,"Great taste, will order again!",Vegetarian
66,Pav Bhaji,"The food was amazing, but delivery was late.",Chinese
36,Dal Fry,"Thoda teekha tha, but I still liked it.",Breakfast
15,Chicken Biryani,"Bahut swaadisht tha, ekdum desi maza!",Vegan
34,Litti Chokha,"Yaar, itna tasty tha, maza aa gaya!",Chinese
34,Vegetable Biryani,"The food was amazing, but delivery was late.",Non-Vegetarian
55,Samosa,Khana fresh tha aur taste bhi badhiya.,Breakfast
56,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Snacks
65,Gulab Jamun,"Great taste, will order again!",Lunch
44,Paneer Tikka,"The food was amazing, but delivery was late.",Vegetarian
60,Barfi,"Perfect lunch, bilkul ghar jaisa.",Dessert
45,Pani Puri,"Yaar, itna tasty tha, maza aa gaya!",Dessert
19,Kulfi,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
33,Mutton Korma,Khana fresh tha aur taste bhi badhiya.,Breakfast
63,Tandoori Chicken,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
63,Vegetable Biryani,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
62,Falooda,Khana fresh tha aur taste bhi badhiya.,Dessert
45,Biryani,"Yaar, itna tasty tha, maza aa gaya!",Chinese
10,Biryani,"Perfect lunch, bilkul ghar jaisa.",Vegan
32,Kofta Curry,"Thoda teekha tha, but I still liked it.",Street Food
13,Fish Fry,"The food was amazing, but delivery was late.",Breakfast
53,Paneer Tikka,"Bahut swaadisht tha, ekdum desi maza!",Chinese
49,Baingan Bharta,Khana fresh tha aur taste bhi badhiya.,Breakfast
18,Pav Bhaji,"Thoda teekha tha, but I still liked it.",Vegetarian
33,Pav Bhaji,"Bahut swaadisht tha, ekdum desi maza!",Dinner
68,Barfi,"Great taste, will order again!",Non-Vegetarian
31,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Dinner
66,Kachori,"Yaar, itna tasty tha, maza aa gaya!",Breakfast
37,Mutton Korma,Samosa toh ekdum crisp aur tasty tha.,Dessert
29,Fish Curry,"Delicious and perfectly spiced, loved it!",Dinner
50,Dal Fry,"Great taste, will order again!",Vegetarian
50,Mutton Korma,"Delicious and perfectly spiced, loved it!",Lunch
50,Naan,"Delicious and perfectly spiced, loved it!",Breakfast
52,Biryani,"The food was amazing, but delivery was late.",Lunch
19,Biryani,"Great taste, will order again!",Dessert
19,Barfi,"Delicious and perfectly spiced, loved it!",Breakfast
53,Gulab Jamun,"Thoda teekha tha, but I still liked it.",Lunch
55,Imarti,"The food was amazing, but delivery was late.",Dinner
24,Biryani,"Perfect lunch, bilkul ghar jaisa.",Dinner
42,Litti Chokha,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
66,Lassi,"Yaar, itna tasty tha, maza aa gaya!",Dessert
47,Kulfi,"Delicious and perfectly spiced, loved it!",Breakfast
45,Litti Chokha,"Perfect lunch, bilkul ghar jaisa.",Breakfast
