age,food_item,meal_category,region,review
48,Murukku,Street Food,Rajasthan,The food was decent
15,Samosa,Indian Curry,Delhi,I enjoyed it
38,Spring Rolls,Vegan,Gujarat,but the food was just average.
62,Kachori,Chinese,Kerala,making it a good value.
54,Vegan Pulao,Dessert,Delhi,I loved the combination of flavors; it was a delightful surprise.
64,Butter Chicken,Dessert,Punjab,and the taste lived up to expectations.
26,Mutton Rogan Josh,Snacks,Tamil Nadu,making it a memorable dish.
36,Hot and Sour Soup,Street Food,Tamil Nadu,and I appreciated the creativity behind it.
31,Goan Prawn Curry,Vegan,Karnataka,It was okay
14,Oats Upma,Seafood,Tamil Nadu,The meal was packed with flavor; I can't wait to have it again!
59,Butter Chicken,Indian Curry,Tamil Nadu,making it a memorable dish.
57,Peda,Vegan,Punjab,The dish was well-prepared and the flavors were spot on!
27,Tikki,Snacks,Gujarat,I found it to be too oily for my liking.
24,Chicken Curry,Street Food,Punjab,and every bite was a joy!
37,Rabri,Vegan,Punjab,It was quite disappointing; I expected a lot more flavor.
27,Vada Pav,Cheesy,Karnataka,I was left wanting more; it felt incomplete.
66,Salad,Healthy,Kerala,but I think it could use a bit more spice.
59,Chaat,Snacks,Rajasthan,though not memorable.
18,Murukku,Dessert,Rajasthan,The consistency was a bit strange; not what I expected.
32,Kheer,Vegan,Maharashtra,and the taste did not disappoint.
10,Dahi Puri,Vegan,Tamil Nadu,but I feel there are better options available.
38,Vegetable Biryani,Indian Curry,Delhi,and I appreciated the creativity behind it.
47,Cheese Stuffed Mushroom,Chinese,Delhi,and the taste did not disappoint.
27,Dahi Puri,Seafood,Maharashtra,I loved the combination of flavors; it was a delightful surprise.
37,Aloo Tikki,Dessert,Rajasthan,a satisfying meal that I would recommend.
43,Spicy Prawn Curry,Indian Curry,Delhi,but I wouldn't order it again.
46,Pav Bhaji,Snacks,Delhi,The meal had great potential but ultimately fell short.
57,Aloo Tikki,Seafood,Uttar Pradesh,I was thrilled with how flavorful it was; a real treat!
38,Tandoori Chicken,Indian Curry,Gujarat,The meal was satisfying
55,Paneer Tikka,Seafood,Karnataka,making it a memorable dish.
66,Dahi Puri,Dessert,Gujarat,It was fine
11,Aloo Tikki,Cheesy,Punjab,Overall
70,Sprouted Moong Salad,Indian Curry,Punjab,Absolutely loved the spices used; it was a delightful experience!
51,Barfi,Chinese,Kerala,and every bite was a joy!
30,Vegetable Biryani,Healthy,Maharashtra,a satisfying meal that I would recommend.
47,Vegetable Biryani,Cheesy,Kerala,The meal was packed with flavor; I can't wait to have it again!
64,Pani Puri,Snacks,Maharashtra,The flavors were unique
25,Murukku,Cheesy,Uttar Pradesh,The aroma was inviting
20,Pav Bhaji,Seafood,Delhi,but I think it could use a bit more spice.
39,Pani Puri,Cheesy,Kerala,I enjoyed it
33,Pakoras,Seafood,Gujarat,but I think it could use a bit more spice.
20,Vegetable Chow Mein,Vegan,Karnataka,The overall experience was pleasant
48,Sweet and Sour Chicken,Dessert,Maharashtra,but I think it could use a bit more spice.
10,Cheesy Veggie Wrap,Spicy,Delhi,The aroma was inviting
54,Oats Upma,Spicy,Uttar Pradesh,and I appreciated the creativity behind it.
38,Paneer Butter Masala,Indian Curry,Karnataka,making it a memorable dish.
36,Dal Makhani,Street Food,Delhi,I was left wanting more; it felt incomplete.
47,Cheese Dosa,Dessert,Maharashtra,The meal was satisfying
32,Chaat,Street Food,Uttar Pradesh,Absolutely loved the spices used; it was a delightful experience!
69,Salad,Healthy,Tamil Nadu,but I feel there are better options available.
33,Stuffed Capsicum,Healthy,Kerala,The aroma was inviting
41,Rajma,Healthy,Punjab,It was fine
70,Hakka Noodles,Street Food,Tamil Nadu,and the taste lived up to expectations.
13,Tandoori Cauliflower,Street Food,Gujarat,but I feel there are better options available.
55,Chicken Vindaloo,Cheesy,Punjab,I enjoyed it
34,Grilled Paneer,Indian Curry,Kerala,but I expected more based on the reviews.
15,Fish Fry,Cheesy,Rajasthan,The dish was well-prepared and the flavors were spot on!
68,Fish Tikka,Spicy,Delhi,The dish was well-prepared and the flavors were spot on!
64,Fish Curry,Healthy,Delhi,The portion size was generous
13,Aloo Gobi,Cheesy,Maharashtra,but it missed the mark.
63,Stuffed Capsicum,Vegan,Punjab,a satisfying meal that I would recommend.
32,Spicy Szechuan Noodles,Seafood,Rajasthan,The presentation was impressive
54,Mixed Vegetable Stir Fry,Spicy,Punjab,The meal was satisfying
60,Kuchcha Aam Ki Barfi,Vegan,Kerala,The flavors were unique
49,Rajma Chawal,Spicy,Maharashtra,I enjoyed it
24,Oats Upma,Chinese,Tamil Nadu,The aroma was inviting
41,Fish Tikka,Spicy,Gujarat,The texture was perfect
59,Cheese Stuffed Mushroom,Indian Curry,Delhi,The service was excellent
22,Paneer Butter Masala,Spicy,Kerala,The food was decent
66,Mixed Vegetable Stir Fry,Cheesy,Uttar Pradesh,I enjoyed the freshness of the ingredients; it made a difference.
10,Cheesy Garlic Bread,Healthy,West Bengal,I was not a fan of the seasoning; it felt a bit off.
22,Chana Masala,Chinese,West Bengal,It was fine
33,Dal Tadka,Snacks,Maharashtra,I enjoyed the freshness of the ingredients; it made a difference.
44,Kachori,Snacks,Tamil Nadu,but I expected more based on the reviews.
24,Cheese Stuffed Mushroom,Indian Curry,Delhi,making it a memorable dish.
47,Kachori,Seafood,Punjab,but the seasoning could improve.
49,Vada Pav,Chinese,West Bengal,It was just alright; I wouldn't go out of my way to have it again.
64,Cheese Samosa,Indian Curry,Uttar Pradesh,It was quite disappointing; I expected a lot more flavor.
62,Kung Pao Chicken,Street Food,Tamil Nadu,I appreciated the effort put into the dish
49,Vegetable Soup,Seafood,Uttar Pradesh,The dish was well-prepared and the flavors were spot on!
26,Cheesy Pasta,Indian Curry,Maharashtra,The presentation was impressive
18,Chicken Curry,Indian Curry,Kerala,The food was decent
38,Cheesy Veggie Wrap,Snacks,West Bengal,making it a good value.
13,Tandoori Cauliflower,Seafood,Delhi,The meal was packed with flavor; I can't wait to have it again!
24,Spring Rolls,Street Food,Karnataka,I found it to be too oily for my liking.
11,Pakoras,Spicy,Gujarat,I found the meal to be quite average; nothing particularly stood out.
67,Gulab Jamun,Vegan,Tamil Nadu,but the food was just average.
55,Spicy Prawn Curry,Cheesy,Karnataka,The meal was packed with flavor; I can't wait to have it again!
60,Dal Makhani,Spicy,Tamil Nadu,It was quite disappointing; I expected a lot more flavor.
33,Prawn Biryani,Indian Curry,Tamil Nadu,The dish was average; I expected more based on the hype.
35,Masala Dosa,Chinese,Karnataka,The dish was well-prepared and the flavors were spot on!
57,Chicken Curry,Dessert,Rajasthan,The aroma was inviting
55,Prawn Masala,Cheesy,Kerala,I was thrilled with how flavorful it was; a real treat!
67,Jalebi,Chinese,Karnataka,but it missed the mark.
29,Murukku,Cheesy,West Bengal,and I appreciated the creativity behind it.
